time,low,high,open,close
Mar  6 14:07:00,1121140,1302610,1132440,1132350
Mar  5 23:35:00,1122600,1295520,1122660,1122660
Mar  6 06:41:00,1121140,1296560,1122180,1295450
Mar  6 10:11:00,1121140,1299810,1298830,1129730
Mar  6 10:21:00,1121140,1300920,1300010,1300900
Mar  6 11:18:00,1121140,1301430,1301000,1133350
Mar  6 03:24:00,1121140,1296560,1295840,1123300
Mar  6 12:34:00,1121140,1302610,1131820,1299680
Mar  6 12:45:00,1121140,1302610,1299930,1299620
Mar  6 18:01:00,1121140,1304910,1130690,1300470
Mar  6 18:33:00,1121140,1304910,1129650,1129980
Mar  6 18:56:00,1121140,1304910,1129990,1300160
Mar  6 07:08:00,1121140,1296600,1296310,1296400
Mar  6 08:31:00,1121140,1298120,1125630,1125890
Mar  6 10:44:00,1121140,1301430,1130990,1130570
Mar  6 15:58:00,1121140,1304910,1130610,1131170
Mar  6 16:28:00,1121140,1304910,1302270,1301870
Mar  6 05:50:00,1121140,1296560,1123430,1123450
Mar  6 07:37:00,1121140,1297580,1123250,1123320
Mar  6 09:36:00,1121140,1299540,1128170,1128270
Mar  6 11:28:00,1121140,1302000,1132320,1132700
Mar  6 18:34:00,1121140,1304910,1129970,1130080
Mar  6 11:49:00,1121140,1302610,1301590,1133370
Mar  6 15:11:00,1121140,1304910,1304500,1135150
Mar  6 13:32:00,1121140,1302610,1132410,1132620
Mar  6 19:08:00,1121140,1304910,1129620,1129870
Mar  6 16:30:00,1121140,1304910,1302140,1132270
Mar  6 18:09:00,1121140,1304910,1130480,1130680
Mar  6 19:21:00,1121140,1304910,1300840,1300860
Mar  6 00:05:00,1121940,1295520,1122180,1122060
Mar  6 00:24:00,1121350,1295660,1295280,1121430
Mar  6 03:39:00,1121140,1296560,1122720,1295500
Mar  6 09:45:00,1121140,1299750,1299280,1299320
Mar  6 14:02:00,1121140,1302610,1132860,1299600
Mar  5 20:57:00,1111960,1296830,1295970,1296170
Mar  5 23:10:00,1122780,1295460,1122850,1122880
Mar  6 09:16:00,1121140,1298480,1298430,1127440
Mar  6 07:12:00,1121140,1296640,1122640,1296560
Mar  6 07:56:00,1121140,1297700,1297590,1297610
Mar  6 11:43:00,1121140,1302610,1133930,1301980
Mar  6 13:55:00,1121140,1302610,1299500,1299600
Mar  6 15:38:00,1121140,1304910,1131260,1131050
Mar  6 01:20:00,1121140,1295860,1122210,1122310
Mar  6 04:05:00,1121140,1296560,1296320,1296300
Mar  6 04:27:00,1121140,1296560,1123590,1295690
Mar  6 10:56:00,1121140,1301430,1299940,1131260
Mar  6 13:50:00,1121140,1302610,1131170,1299080
