time,low,high,open,close
Mar  5 20:00:00,1122610,1122900,1122680,1122830
Mar  5 21:00:00,1122660,1123030,1122820,1122840
Mar  5 23:00:00,1122260,1123010,1123010,1122290
Mar  6 00:00:00,1121200,1122840,1122290,1122040
Mar  6 01:00:00,1121880,1124640,1122030,1124560
Mar  6 02:00:00,1123070,1124900,1124600,1123240
Mar  6 03:00:00,1122630,1123450,1123220,1123360
Mar  6 04:00:00,1123010,1123930,1123390,1123120
Mar  6 05:00:00,1122840,1123660,1123110,1122860
Mar  6 06:00:00,1121930,1123740,1122870,1122860
Mar  6 07:00:00,1122380,1123790,1122820,1123450
Mar  6 08:00:00,1122920,1127870,1123450,1127260
Mar  6 09:00:00,1126830,1129530,1127260,1129430
Mar  6 10:00:00,1129320,1132420,1129430,1131680
Mar  6 11:00:00,1131190,1134070,1131670,1133280
Mar  6 12:00:00,1130540,1133290,1133290,1131660
Mar  6 13:00:00,1130580,1133780,1131630,1132300
Mar  6 14:00:00,1131830,1135500,1132280,1134950
Mar  6 15:00:00,1128770,1135470,1134950,1131050
Mar  6 16:00:00,1130590,1133010,1131020,1131960
Mar  6 17:00:00,1128860,1132810,1131940,1130550
Mar  6 18:00:00,1129130,1131170,1130580,1129840
Mar  6 19:00:00,1129390,1131890,1129880,1131800
Mar  6 20:00:00,1130110,1132600,1131800,1130630
Mar  8 22:00:00,1134050,1139530,1135000,1138750
Mar  8 23:00:00,1136690,1139650,1138770,1138790
Mar  9 00:00:00,1135950,1138800,1138800,1136030
Mar  9 01:00:00,1135630,1149660,1136020,1142880
Mar  9 02:00:00,1138670,1146140,1142900,1139820
Mar  9 03:00:00,1137160,1142790,1139820,1141700
Mar  9 04:00:00,1139810,1142370,1141710,1140150
Mar  9 05:00:00,1138150,1142560,1140130,1138240
Mar  9 06:00:00,1138220,1140970,1138240,1140040
Mar  9 07:00:00,1140040,1147540,1140050,1143880
Mar  9 08:00:00,1139080,1144040,1143890,1140280
Mar  9 09:00:00,1136590,1140680,1140280,1139170
Mar  9 10:00:00,1139050,1143920,1139150,1142460
Mar  9 11:00:00,1141800,1142940,1142460,1142150
